iter	RMSE
0	8.929389075
1	8.641688869
2	8.379493071
3	8.134828826
4	7.911782804
5	7.708075231
6	7.52080303
7	7.345992991
8	7.189950521
9	7.049083542
10	6.922018055
11	6.806231546
12	6.698707308
13	6.59775966
14	6.509718703
15	6.429927596
16	6.360121966
17	6.289906108
18	6.227246419
19	6.173110886
20	6.117660439
21	6.067049953
22	6.025236862
23	5.984895545
24	5.947459005
25	5.913469777
26	5.88364755
27	5.853232208
28	5.828182842
29	5.805834524
30	5.780937013
31	5.75574278
32	5.735256558
33	5.717470387
34	5.700336341
35	5.685275799
36	5.67001924
37	5.656533846
38	5.639661738
39	5.627629805
40	5.616853485
41	5.603803282
42	5.587474215
43	5.576627013
44	5.564970681
45	5.558834697
46	5.549878715
47	5.538382857
48	5.528433777
49	5.521145621
50	5.51200459
51	5.503247514
52	5.493569869
53	5.486546208
54	5.478797205
55	5.470701307
56	5.463634862
57	5.456854136
58	5.449962824
59	5.442658611
60	5.433141776
61	5.426329921
62	5.420008211
63	5.411685653
64	5.405577422
65	5.397692489
66	5.391419044
67	5.38585268
68	5.379457257
69	5.371095193
70	5.365611846
71	5.360102849
72	5.355263735
73	5.349518219
74	5.34389823
75	5.336474414
76	5.33279995
77	5.325316537
78	5.319304053
79	5.314951899
80	5.309834612
81	5.306718387
82	5.302003724
83	5.294565253
84	5.289612126
85	5.285365481
86	5.281405012
87	5.276905048
88	5.271917753
89	5.267672432
90	5.26305145
91	5.25946175
92	5.256326763
93	5.25184726
94	5.246837518
95	5.241567458
96	5.239668014
97	5.236582765
98	5.232406497
99	5.227642369
100	5.225153144
101	5.220598956
102	5.218084855
103	5.215719034
104	5.212609488
105	5.208954461
106	5.205940018
107	5.201112506
108	5.197998695
109	5.194576641
110	5.190758512
111	5.187377134
112	5.18315635
113	5.180779269
114	5.178869412
115	5.176334857
116	5.17284303
117	5.170923583
118	5.167806107
119	5.165631604
120	5.161152032
121	5.159382598
122	5.155255213
123	5.150716678
124	5.147616416
125	5.143789195
126	5.141140719
127	5.137539294
128	5.134441072
129	5.130547957
130	5.126388361
131	5.123269931
132	5.120340021
133	5.113332287
134	5.108661012
135	5.106755942
136	5.1022036
137	5.094327506
138	5.092742614
139	5.089294642
140	5.086430697
141	5.082139655
142	5.077595968
143	5.073792886
144	5.069192933
145	5.066888015
146	5.064949723
147	5.061413672
148	5.05858058
149	5.057291999
150	5.054989534
151	5.051179852
152	5.048721357
153	5.045311778
154	5.042433576
155	5.039804502
156	5.034961258
157	5.032430794
158	5.029081297
159	5.025945792
160	5.022380335
161	5.019236149
162	5.0157716
163	5.013369405
164	5.009283217
165	5.003058725
166	4.999603953
167	4.996938798
168	4.992894438
169	4.988164559
170	4.983978875
171	4.980716606
172	4.976216787
173	4.972925855
174	4.97024043
175	4.968610064
176	4.964065082
177	4.962309397
178	4.958744622
179	4.956343814
180	4.954354268
181	4.951336797
182	4.947253654
183	4.943016746
184	4.941464809
185	4.938540674
186	4.936146536
187	4.931999234
188	4.928791892
189	4.925687344
190	4.923400012
191	4.921371476
192	4.916975241
193	4.913751131
194	4.910532597
195	4.907425331
196	4.904586003
197	4.902744643
198	4.8994447
199	4.894854443
200	4.892428794
201	4.889282945
202	4.885585975
203	4.883465977
204	4.8794275
205	4.876935937
206	4.874353652
207	4.871186054
208	4.868159488
209	4.866616834
210	4.864195638
211	4.860950166
212	4.85712269
213	4.854248995
214	4.849642662
215	4.846064326
216	4.843704037
217	4.840888854
218	4.83764631
219	4.835221291
220	4.831104309
221	4.828744837
222	4.826125525
223	4.823883833
224	4.822307823
225	4.820546137
226	4.817622404
227	4.812374948
228	4.809768683
229	4.807487299
230	4.804585667
231	4.800580568
232	4.798806357
233	4.795071757
234	4.791461901
235	4.789492333
236	4.787759717
237	4.782624872
238	4.779619899
239	4.776738613
240	4.773991219
241	4.772587874
242	4.769709811
243	4.766848719
244	4.764228968
245	4.76211508
246	4.759857522
247	4.757980055
248	4.755398854
249	4.752526241
250	4.750276655
251	4.748547272
252	4.745916248
253	4.743403052
254	4.739970413
255	4.737879522
256	4.735680989
257	4.734201707
258	4.730709989
259	4.729461968
260	4.727580292
261	4.724613785
262	4.720927771
263	4.719130576
264	4.717578776
265	4.714673405
266	4.713066717
267	4.709382362
268	4.706774096
269	4.704317449
270	4.702952074
271	4.699203332
272	4.695579871
273	4.693837962
274	4.691465152
275	4.689193784
276	4.68644623
277	4.684393624
278	4.681842726
279	4.679146943
280	4.676737918
281	4.675331172
282	4.672818441
283	4.669973097
284	4.667608679
285	4.664378356
286	4.661740522
287	4.659148229
288	4.655502574
289	4.653496583
290	4.652132267
291	4.650406483
292	4.648234395
293	4.644871636
294	4.642640284
295	4.63950666
296	4.637041274
297	4.634064424
298	4.630339685
299	4.628414502
300	4.626065387
301	4.623314751
302	4.621055423
303	4.618868991
304	4.616027899
305	4.614225698
306	4.612333709
307	4.609156988
308	4.607074458
309	4.605661511
310	4.603496032
311	4.599783147
312	4.597601119
313	4.595995416
314	4.59360783
315	4.591700462
316	4.590106269
317	4.588197552
318	4.585716351
319	4.582802383
320	4.58131687
321	4.57977174
322	4.578853857
323	4.577291444
324	4.575992252
325	4.574268039
326	4.572300249
327	4.570105915
328	4.568830362
329	4.566361246
330	4.563655351
331	4.561035619
332	4.558087692
333	4.555437625
334	4.552650497
335	4.550087565
336	4.547552923
337	4.54648114
338	4.543075641
339	4.541606014
340	4.539873918
341	4.537651731
342	4.535993502
343	4.533075681
344	4.530728732
345	4.527980145
346	4.526229335
347	4.524128934
348	4.52226568
349	4.520755552
350	4.517402612
351	4.515548073
352	4.513824864
353	4.511207028
354	4.50972548
355	4.507398082
356	4.505673822
357	4.503193186
358	4.501973942
359	4.500889945
360	4.499112393
361	4.496891654
362	4.495298622
363	4.492356733
364	4.490523886
365	4.488952245
366	4.487830988
367	4.486321091
368	4.484979393
369	4.482706966
370	4.480434558
371	4.478596618
372	4.476253353
373	4.475160338
374	4.472237084
375	4.470105772
376	4.468302362
377	4.464657205
378	4.462959616
379	4.461718447
380	4.459762613
381	4.458576175
382	4.457174968
383	4.455617323
384	4.45401042
385	4.45162559
386	4.449987811
387	4.448397579
388	4.446952017
389	4.446307436
390	4.444709093
391	4.442755749
392	4.441512218
393	4.438573609
394	4.437169286
395	4.435994306
396	4.433190593
397	4.431774361
398	4.429394827
399	4.427114783
400	4.425174678
401	4.423174118
402	4.421263589
403	4.418765911
404	4.416589397
405	4.415551229
406	4.413980906
407	4.412113373
408	4.410265943
409	4.407614378
410	4.406794272
411	4.40444311
412	4.402205764
413	4.400952203
414	4.398550452
415	4.397727208
416	4.396217011
417	4.395185402
418	4.393210752
419	4.390960054
420	4.3897061
421	4.387833568
422	4.385660022
423	4.384055048
424	4.382825686
425	4.381217415
426	4.378893203
427	4.377926747
428	4.376536576
429	4.375004859
430	4.373730146
431	4.372435769
432	4.370816292
433	4.369899622
434	4.368046612
435	4.366852413
436	4.365611016
437	4.363822277
438	4.362089457
439	4.359712313
440	4.359210889
441	4.357934293
442	4.356157409
443	4.354611484
444	4.352906097
445	4.3497671
446	4.347653821
447	4.347081713
448	4.345631777
449	4.343799422
450	4.34137995
451	4.339403353
452	4.3380359
453	4.336639239
454	4.334920718
455	4.333387103
456	4.331174702
457	4.329144564
458	4.327888149
459	4.326088451
460	4.32423771
461	4.32286688
462	4.321652616
463	4.31958673
464	4.31806664
465	4.316397953
466	4.315591735
467	4.313872889
468	4.311920952
469	4.309250265
470	4.308288837
471	4.3078113
472	4.305495398
473	4.304378671
474	4.302800521
475	4.300521846
476	4.299011683
477	4.296348528
478	4.295175006
479	4.29406599
480	4.29261175
481	4.290761433
482	4.289453439
483	4.288020379
484	4.287079236
485	4.285001108
486	4.284167376
487	4.282837175
488	4.281378734
489	4.278812807
490	4.278068375
491	4.277300629
492	4.276126098
493	4.274564925
494	4.273087721
495	4.271587441
496	4.270782981
497	4.268678029
498	4.267340395
499	4.26597738
500	4.264458945
501	4.262997448
502	4.261704107
503	4.260097965
504	4.258841358
505	4.257443927
506	4.256280372
507	4.254054401
508	4.252599282
509	4.250739663
510	4.249752359
511	4.248121092
512	4.245695524
513	4.244715807
514	4.243253762
515	4.242692373
516	4.24116352
517	4.239308979
518	4.238121635
519	4.23699691
520	4.234722724
521	4.23376612
522	4.232814359
523	4.231653052
524	4.229688617
525	4.228542371
526	4.226823058
527	4.225864923
528	4.224931969
529	4.22403511
530	4.222566429
531	4.220263969
532	4.219068086
533	4.217741642
534	4.21588572
535	4.214602728
536	4.213265608
537	4.211861988
538	4.210807224
539	4.209636198
540	4.207394742
541	4.206040604
542	4.203818337
543	4.202030909
544	4.201006229
545	4.200501612
546	4.198952106
547	4.197425265
548	4.195442347
549	4.194158561
550	4.19272843
551	4.1908301
552	4.189418595
553	4.18757474
554	4.186345091
555	4.185098981
556	4.18358529
557	4.181494324
558	4.179761689
559	4.178200632
560	4.176648585
561	4.17485779
562	4.172791532
563	4.171113052
564	4.169922706
565	4.168306416
566	4.167483306
567	4.165891296
568	4.164221985
569	4.162644582
570	4.161515745
571	4.160270559
572	4.159472473
573	4.157543357
574	4.156527793
575	4.154900618
576	4.153963474
577	4.153623736
578	4.15203988
579	4.150940627
580	4.149465674
581	4.147960096
582	4.146955215
583	4.145674093
584	4.144751581
585	4.142420671
586	4.141034773
587	4.139705551
588	4.138809035
589	4.137299934
590	4.136302982
591	4.135125614
592	4.133422517
593	4.13231862
594	4.131201584
595	4.12920284
596	4.128655608
597	4.127283608
598	4.125905668
599	4.1250578
600	4.124435966
601	4.123773112
602	4.122520907
603	4.121025328
604	4.119800747
605	4.119118474
606	4.117688343
607	4.115693858
608	4.113532606
609	4.112416468
610	4.111255351
611	4.11051462
612	4.109622016
613	4.107803667
614	4.106124203
615	4.10565667
616	4.104501106
617	4.10362117
618	4.103114542
619	4.101239363
620	4.100208815
621	4.098347819
622	4.096959283
623	4.095479753
624	4.094602979
625	4.093443418
626	4.091773654
627	4.090651811
628	4.089694304
629	4.088351734
630	4.087201638
631	4.086282045
632	4.085220467
633	4.084490277
634	4.082235573
635	4.081435066
636	4.079213302
637	4.078495844
638	4.077554097
639	4.07608006
640	4.074741711
641	4.073230222
642	4.071693496
643	4.071308515
644	4.069827854
645	4.068247169
646	4.06760538
647	4.066199711
648	4.065057374
649	4.064244033
650	4.062898003
651	4.061878021
652	4.060823557
653	4.059466518
654	4.057954498
655	4.056197243
656	4.055253506
657	4.054575041
658	4.053126553
659	4.051709591
660	4.050506868
661	4.049217499
662	4.048672094
663	4.047774364
664	4.046373551
665	4.045794799
666	4.045035581
667	4.044230735
668	4.043740237
669	4.042691727
670	4.041286109
671	4.040380603
672	4.03970273
673	4.038944973
674	4.037474881
675	4.036636432
676	4.035193154
677	4.03486976
678	4.033120616
679	4.03197501
680	4.031039085
681	4.029335431
682	4.028235711
683	4.026936244
684	4.025252854
685	4.023727081
686	4.022947002
687	4.022061652
688	4.020788333
689	4.019688106
690	4.019357784
691	4.018562615
692	4.017894816
693	4.017530397
694	4.016289294
695	4.015009145
696	4.013496333
697	4.012377492
698	4.0108826
699	4.010022095
700	4.008927063
701	4.008054335
702	4.00667584
703	4.006194104
704	4.004957449
705	4.003753044
706	4.002894691
707	4.001892368
708	4.00128347
709	3.999852172
710	3.998992629
711	3.998065327
712	3.997304689
713	3.996732915
714	3.9956728
715	3.994979921
716	3.993973949
717	3.992444096
718	3.990849598
719	3.989624252
720	3.988510522
721	3.987160962
722	3.986236298
723	3.98444213
724	3.983574398
725	3.982602898
726	3.981324529
727	3.980791426
728	3.979436033
729	3.97770843
730	3.976526952
731	3.975433669
732	3.974588848
733	3.973668
734	3.972758783
735	3.971643954
736	3.970424589
737	3.96970599
738	3.967459274
739	3.966343541
740	3.96580101
741	3.964454363
742	3.963032436
743	3.961733017
744	3.960443468
745	3.959743578
746	3.958212084
747	3.956873849
748	3.95588016
749	3.955123326
750	3.953835192
751	3.952964406
752	3.951835145
753	3.950512754
754	3.949807511
755	3.948928556
756	3.948173372
757	3.947489918
758	3.946370097
759	3.945065677
760	3.944408145
761	3.942879493
762	3.941985445
763	3.940929002
764	3.939887283
765	3.939066151
766	3.937607845
767	3.936753329
768	3.93560916
769	3.93434499
770	3.933836134
771	3.932989302
772	3.932301689
773	3.930864409
774	3.929547872
775	3.928416297
776	3.927261836
777	3.926365837
778	3.92530972
779	3.923752654
780	3.92263819
781	3.921836662
782	3.920504206
783	3.919668292
784	3.918739238
785	3.917157516
786	3.916246927
787	3.91478273
788	3.913944271
789	3.912932761
790	3.911551676
791	3.910856154
792	3.909694957
793	3.908786244
794	3.907581242
795	3.906735932
796	3.905805649
797	3.904655291
798	3.903801867
799	3.902901915
