iter	Passed	Remaining
0	18	14523
1	34	13913
2	49	13257
3	66	13171
4	91	14609
5	116	15464
6	140	15916
7	170	16874
8	198	17425
9	212	16778
10	225	16192
11	240	15763
12	255	15459
13	270	15179
14	285	14938
15	300	14717
16	315	14534
17	328	14259
18	339	13970
19	353	13777
20	378	14032
21	397	14045
22	411	13909
23	427	13827
24	440	13663
25	455	13546
26	470	13482
27	512	14139
28	527	14037
29	556	14293
30	590	14645
31	622	14929
32	636	14792
33	654	14752
34	676	14790
35	707	15015
36	726	14983
37	743	14905
38	755	14746
39	778	14798
40	803	14868
41	821	14818
42	836	14724
43	848	14572
44	861	14455
45	871	14291
46	893	14316
47	923	14470
48	940	14409
49	956	14340
50	972	14278
51	1000	14395
52	1017	14335
53	1028	14209
54	1042	14122
55	1058	14067
56	1070	13951
57	1087	13908
58	1097	13789
59	1128	13923
60	1144	13866
61	1154	13741
62	1168	13671
63	1182	13593
64	1202	13596
65	1227	13647
66	1238	13546
67	1248	13442
68	1259	13341
69	1275	13301
70	1298	13333
71	1314	13288
72	1331	13263
73	1348	13228
74	1367	13214
75	1382	13167
76	1396	13111
77	1411	13069
78	1432	13076
79	1458	13127
80	1479	13133
81	1496	13101
82	1510	13050
83	1533	13075
84	1547	13013
85	1556	12919
86	1583	12973
87	1594	12897
88	1609	12855
89	1621	12788
90	1637	12754
91	1650	12700
92	1665	12658
93	1677	12600
94	1691	12552
95	1703	12494
96	1729	12535
97	1744	12496
98	1758	12452
99	1780	12465
100	1804	12487
101	1817	12436
102	1837	12433
103	1871	12525
104	1898	12563
105	1911	12512
106	1926	12476
107	1943	12450
108	1967	12473
109	1988	12472
110	2013	12497
111	2027	12453
112	2051	12471
113	2067	12439
114	2092	12461
115	2111	12452
116	2143	12510
117	2162	12498
118	2177	12460
119	2200	12471
120	2240	12570
121	2253	12522
122	2271	12503
123	2285	12457
124	2318	12519
125	2337	12505
126	2380	12614
127	2393	12565
128	2403	12503
129	2414	12446
130	2431	12419
131	2450	12400
132	2463	12353
133	2479	12321
134	2503	12333
135	2516	12285
136	2529	12241
137	2566	12310
138	2577	12258
139	2599	12255
140	2617	12234
141	2631	12192
142	2642	12138
143	2656	12100
144	2668	12052
145	2683	12020
146	2697	11983
147	2708	11933
148	2721	11889
149	2738	11866
150	2760	11864
151	2774	11830
152	2788	11792
153	2798	11738
154	2841	11823
155	2851	11771
156	2874	11773
157	2890	11746
158	2903	11703
159	2922	11689
160	2940	11670
161	2964	11675
162	2977	11635
163	2990	11599
164	3003	11558
165	3027	11563
166	3046	11549
167	3057	11500
168	3069	11460
169	3082	11422
170	3096	11390
171	3127	11420
172	3136	11369
173	3145	11315
174	3153	11264
175	3164	11218
176	3174	11172
177	3184	11127
178	3194	11082
179	3205	11040
180	3214	10994
181	3224	10950
182	3234	10904
183	3243	10860
184	3253	10816
185	3263	10772
186	3273	10730
187	3285	10695
188	3296	10655
189	3306	10614
190	3316	10574
191	3325	10530
192	3336	10493
193	3346	10452
194	3356	10413
195	3365	10369
196	3376	10335
197	3385	10294
198	3394	10252
199	3405	10217
200	3414	10175
201	3423	10135
202	3432	10095
203	3443	10059
204	3451	10018
205	3461	9982
206	3471	9946
207	3480	9907
208	3491	9873
209	3500	9833
210	3510	9800
211	3520	9765
212	3531	9731
213	3540	9696
214	3550	9661
215	3561	9628
216	3572	9598
217	3582	9564
218	3593	9532
219	3602	9498
220	3613	9466
221	3623	9433
222	3632	9397
223	3643	9368
224	3653	9337
225	3662	9302
226	3672	9271
227	3681	9236
228	3692	9206
229	3701	9172
230	3711	9141
231	3719	9107
232	3730	9077
233	3740	9046
234	3750	9016
235	3759	8985
236	3768	8951
237	3781	8929
238	3796	8910
239	3819	8912
240	3853	8937
241	3863	8908
242	3904	8950
243	3920	8932
244	3930	8902
245	3940	8875
246	3961	8870
247	3973	8843
248	3989	8827
249	4008	8818
250	4020	8793
251	4030	8764
252	4050	8757
253	4087	8787
254	4115	8796
255	4126	8768
256	4145	8759
257	4154	8728
